GPK	Medication	Shape	Route	DoseType	Dep	CVL	PVL	DiluentVol	ExpansionVol	Diluents
127434	abatacept infusiepoeder 250mg	poeder voor oplossing voor infusie	iv		ICC			10		water
127434	abatacept infusiepoeder 250mg	poeder voor oplossing voor infusie	iv		ICK			10		water
127434	abatacept infusiepoeder 250mg	poeder voor oplossing voor infusie	iv		NEO			10		water
110140	acetazolamide injectiepoeder 500mg	poeder voor injectievloeistof	iv		ICC			5		water
110140	acetazolamide injectiepoeder 500mg	poeder voor injectievloeistof	iv		ICK			5		water
110140	acetazolamide injectiepoeder 500mg	poeder voor injectievloeistof	iv		NEO			5		water
53767	acetylcysteine infopl conc 200mg/ml	concentraat voor oplossing voor infusie	iv		ICC			0		
53767	acetylcysteine infopl conc 200mg/ml	concentraat voor oplossing voor infusie	iv		ICK			0		
53767	acetylcysteine infopl conc 200mg/ml	concentraat voor oplossing voor infusie	iv		NEO			0		
10154	acetylsalicylzuur pdr v injvlst 500mg	poeder voor injectievloeistof	im		ICC			5		water
10154	acetylsalicylzuur pdr v injvlst 500mg	poeder voor injectievloeistof	im		ICK			5		water
10154	acetylsalicylzuur pdr v injvlst 500mg	poeder voor injectievloeistof	im		NEO			5		water
10154	acetylsalicylzuur pdr v injvlst 500mg	poeder voor injectievloeistof	iv		ICC			5		water
10154	acetylsalicylzuur pdr v injvlst 500mg	poeder voor injectievloeistof	iv		ICK			5		water
10154	acetylsalicylzuur pdr v injvlst 500mg	poeder voor injectievloeistof	iv		NEO			5		water
109983	aciclovir infopl conc 25mg/ml	concentraat voor oplossing voor infusie	iv		ICC			0		
109983	aciclovir infopl conc 25mg/ml	concentraat voor oplossing voor infusie	iv		ICK			0		
109983	aciclovir infopl conc 25mg/ml	concentraat voor oplossing voor infusie	iv		NEO			0		
44687	aciclovir infusiepoeder 250mg	poeder voor oplossing voor infusie	iv		ICC			10		water
44687	aciclovir infusiepoeder 250mg	poeder voor oplossing voor infusie	iv		ICK			10		water
44687	aciclovir infusiepoeder 250mg	poeder voor oplossing voor infusie	iv		NEO			10		water
161624	adenosine infusievlst 2mg/ml	infusievloeistof	iv		ICC			0		
161624	adenosine infusievlst 2mg/ml	infusievloeistof	iv		ICK			0		
