Generic	Shape	Route	Indication	Dep	Diagn	Gender	MinAge	MaxAge	MinWeight	MaxWeight	MinBSA	MaxBSA	MinGestAge	MaxGestAge	MinPMAge	MaxPMAge	DoseType	Substance	Freqs	DoseUnit	AdjustUnit	FreqUnit	RateUnit	MinTime	MaxTime	TimeUnit	MinInt	MaxInt	IntUnit	MinDur	MaxDur	DurUnit	NormQty	MinQty	MaxQty	NormQtyAdj	MinQtyAdj	MaxQtyAdj	NormPerTime	MinPerTime	MaxPerTime	NormPerTimeAdj	MinPerTimeAdj	MaxPerTimeAdj	NormRate	MinRate	MaxRate	NormRateAdj	MinRateAdj	MaxRateAdj
abacavir	drank	or	hiv				30	7200									onderhoud	abacavir	1; 2	mg	kg	dag																				16								
abacavir	tablet	or	hiv				30	7200									onderhoud	abacavir	1; 2	mg	kg	dag																				16								
abacavir/lamivudine	tablet	or	hiv						25,000								onderhoud		1	stuk		dag																	1	1	1									
abatacept	injectievloeistof	sc	juveniele idiopathische arthritis (j.i.a.)				720		10,000	25,000							onderhoud	abatacept	1	mg		week																	50		50									
abatacept	injectievloeistof	sc	juveniele idiopathische arthritis (j.i.a.)				720		25,000	50,000							onderhoud	abatacept	1	mg		week																	87.5		87.5									
abatacept	injectievloeistof	sc	juveniele idiopathische arthritis (j.i.a.)				720		50,000								onderhoud	abatacept	1	mg		week																	125		125									
abatacept	poeder voor oplossing voor infusie	iv	juveniele idiopathische arthritis (j.i.a.)				720	2160									onderhoud	abatacept	1	mg	kg	4 weken		30	45	min																10		11						
abatacept	poeder voor oplossing voor infusie	iv	juveniele idiopathische arthritis (j.i.a.)				2160	7200		75,000							onderhoud	abatacept	1	mg	kg	4 weken		30	45	min																10		11						
abatacept	poeder voor oplossing voor infusie	iv	juveniele idiopathische arthritis (j.i.a.)				2160	7200	75,000	100,000							onderhoud	abatacept	1	mg		4 weken		30	45	min									750															
abatacept	poeder voor oplossing voor infusie	iv	juveniele idiopathische arthritis (j.i.a.)				2160	7200	100,000								onderhoud	abatacept	1	mg		4 weken		30	45	min									1000															
acetazolamide	tablet	or	diureticum bij oedeem				30	7200									onderhoud	acetazolamide	1	mg	kg	dag																				5								
acetazolamide	poeder voor injectievloeistof	iv	epilepsie, adjuvante therapie				30	7200									onderhoud	acetazolamide	2; 3	mg	kg	dag	min																				8	30			200			
acetazolamide	tablet	or	epilepsie, adjuvante therapie				30	7200									onderhoud	acetazolamide	2; 3	mg	kg	dag																					8	30						
acetazolamide	tablet	or	verlaging intracraniele druk				30	7200									onderhoud	acetazolamide	3	mg	kg	dag																				30		100						
acetazolamide	tablet	or	verlaging intraoculaire druk				30	7200									onderhoud	acetazolamide	3; 4	mg	kg	dag																					10	30						
acetylcysteine	vernevelvloeistof	inh	cystic fibrosis				30	7200									onderhoud	acetylcysteine	1; 2; 3; 4	mg		dag													400															
acetylcysteine	capsule	or	paracetamol intoxicatie				30	7200									onderhoud	acetylcysteine	6	mg	kg	dag																				450		495						
acetylcysteine	poeder voor oraal gebruik	or	paracetamol intoxicatie				30	7200									onderhoud	acetylcysteine	6	mg	kg	dag																				450		495						
acetylcysteine	concentraat voor oplossing voor infusie	iv	paracetamol intoxicatie				30	7200									start	acetylcysteine	1	mg	kg		uur	60	120	min				1	1					150											2100			
