name	Eenheid	volume mL	energie kCal	eiwit g	KH g	vet g	Na mmol	K mmol	Ca mmol	P mmol	Mg mmol	Fe mmol	VitD IE	Cl mmol	IsAdditive
Calogen neutraal pdr	g	0	4.5	0	0	0.5	0.00304346	0	0	0	0	0	0	0.000028206	TRUE
Fantomalt pdr	g	0	3.84	0	0.96	0	0.00086956	0	0	0	0	0	0	0	TRUE
Hero Baby 1 NS Comfort pdr	g	0	5.03	0.11	0.52	0.27	0.0521736	0.11846142	0.084162	0.064578	0.012671428	0.0005549	3.68	0.08687448	TRUE
Hero Baby 1 NS Pep pdr	g	0	4.93	0.13	0.53	0.26	0.08869512	0.1410255	0.0996	0.0742647	0.0205705	0.0006265	3.12	0.0888489	TRUE
Hero Baby 1 NS Standaard	mL	1	0.66	0.014	0.072	0.035	0.0086956	0.01666665	0.01245	0.0096867	0.00246846	0.00013962	0.48	0.01184652	FALSE
Hero Baby 1 NS Standaard pdr	g	0	5.09	0.1	0.56	0.27	0.0521736	0.11846142	0.084162	0.064578	0.012671428	0.0005549	3.68	0.08687448	TRUE
Hero Baby 2 NS Comfort pdr	g	0	5.03	0.11	0.52	0.27	0.0521736	0.11846142	0.084162	0.064578	0.012671428	0.0015215	3.68	0.08687448	TRUE
Hero Baby 2 NS Pep pdr	g	0	4.93	0.13	0.53	0.26	0.08869512	0.1410255	0.0996	0.0742647	0.0205705	0.0012709	3.12	0.0888489	TRUE
Hero Baby 2 NS Standaard pdr	g	0	4.7	0.095	0.64	0.19	0.0695648	0.14205114	0.100845	0.07846227	0.02139332	0.0014678	3.44	0.08377182	TRUE
Infatrini	mL	1	1	0.026	0.103	0.054	0.01608686	0.02435895	0.0249	0.0161445	0.00370269	0.0002148	0.76	0.01748772	FALSE
Infatrini Peptisorb	mL	1	1	0.026	0.103	0.054	0.01391296	0.02769228	0.01992	0.0129156	0.00329128	0.000179	0.68	0.01805184	FALSE
Liquigen pdr	g	0	4.5	0	0	0.5	0.0021739	0.000025641	0.0000747	0	0	0	0	0.028206	TRUE
MM	mL	1	0.68	0.01	0.07	0.04	0.0086956	0.0128205	0.00747	0.00484335	0.00123423	0.0000179	0	0.01212858	FALSE
MM of Hypoallergeen	mL	1	0.68	0.01	0.07	0.04	0.0086956	0.0128205	0.00747	0.00484335	0.00123423	0.0000179	0	0.01212858	FALSE
MM of Nenatal 1	mL	1	0.68	0.01	0.07	0.04	0.0086956	0.0128205	0.00747	0.00484335	0.00123423	0.0000179	0	0.01212858	FALSE
MM of Nenatal Start	mL	1	0.68	0.01	0.07	0.04	0.0086956	0.0128205	0.00747	0.00484335	0.00123423	0.0000179	0	0.01212858	FALSE
MM of Neocate	mL	1	0.68	0.01	0.07	0.04	0.0086956	0.0128205	0.00747	0.00484335	0.00123423	0.0000179	0	0.01212858	FALSE
MM of Nutrilon Standaard 1	mL	1	0.68	0.01	0.07	0.04	0.0086956	0.0128205	0.00747	0.00484335	0.00123423	0.0000179	0	0.01212858	FALSE
MM of Nutrilon Standaard 2	mL	1	0.68	0.01	0.07	0.04	0.0086956	0.0128205	0.00747	0.00484335	0.00123423	0.0000179	0	0.01212858	FALSE
Neocate Junior pdr	g	0	4.75	0.133	0.56	0.22	0.1239123	0.13999986	0.106572	0.09977301	0.027358765	0.0010203	2.48	0.12326022	TRUE
Neocate LCP pdr	g	0	4.83	0.13	0.525	0.245	0.08217342	0.13461525	0.118275	0.11010549	0.02098191	0.00129775	3.52	0.10887516	TRUE
Nutramigen 1 LGG pdr	g	0	5	0.14	0.55	0.25	0.1043472	0.1564101	0.140685	0.1259271	0.0205705	0.001611	3	0.1353888	TRUE
Nutramigen 2 LGG pdr	g	0	4.66	0.116	0.59	0.2	0.07478216	0.14564088	0.158862	0.10849104	0.01933627	0.0014678	2.92	0.10520838	TRUE
Nutrilon 1 pdr	g	0	4.84	0.097	0.538	0.247	0.0543475	0.12846141	0.104082	0.07652493	0.01522217	0.0006981	3.48	0.08574624	TRUE
Nutrilon Caprilon	mL	1	0.663	0.015	0.07	0.036	0.008826034	0.01717947	0.0132717	0.009428388	3.29128	0.00009129	0.76	0.0112824	FALSE
