ZIndex	ZIndexFreq	ZIndexUnit	MetaVision1	MetaVision2	Freq	n	Unit				
1 eenmalig	1	eenmalig		eOnce	1	1	keer		1_eenmalig	1	eenmalig
2 eenmalig	2	eenmalig		eOnce	2	1	keer		2_eenmalig	2	eenmalig
3 eenmalig	3	eenmalig		eOnce	3	1	keer		3_eenmalig	3	eenmalig
4 eenmalig	4	eenmalig		eOnce	4	1	keer		4_eenmalig	4	eenmalig
5 eenmalig	5	eenmalig		eOnce	5	1	keer		5_eenmalig	5	eenmalig
6 eenmalig	6	eenmalig		eOnce	6	1	keer		6_eenmalig	6	eenmalig
7 eenmalig	7	eenmalig		eOnce	7	1	keer		7_eenmalig	7	eenmalig
8 eenmalig	8	eenmalig		eOnce	8	1	keer		8_eenmalig	8	eenmalig
9 eenmalig	9	eenmalig		eOnce	9	1	keer		9_eenmalig	9	eenmalig
10 eenmalig	10	eenmalig		eOnce	10	1	keer		10_eenmalig	10	eenmalig
11 eenmalig	11	eenmalig		eOnce	11	1	keer		11_eenmalig	11	eenmalig
12 eenmalig	12	eenmalig		eOnce	12	1	keer		12_eenmalig	12	eenmalig
1 per 10 dagen	1	10 dagen			1	10	dag		1_10 dagen	1	10 dagen
1 per 10 uur	1	10 uur			1	10	uur		1_10 uur	1	10 uur
1 per 10 weken	1	10 weken			1	10	week		1_10 weken	1	10 weken
1 per 11 dagen	1	11 dagen			1	11	dag		1_11 dagen	1	11 dagen
1 per 11 uur	1	11 uur			1	11	uur		1_11 uur	1	11 uur
1 per 11 weken	1	11 weken			1	11	week		1_11 weken	1	11 weken
1 per 12 dagen	1	12 dagen			1	12	dag		1_12 dagen	1	12 dagen
1 per 12 uur	1	12 uur			1	12	uur		1_12 uur	1	12 uur
1 per 12 weken	1	12 weken			1	12	week		1_12 weken	1	12 weken
2 per 18 maanden	2	18 maanden			2	18	maand		2_18 maanden	2	18 maanden
1 per 2 dagen	1	2 dagen			1	2	dag		1_2 dagen	1	2 dagen
2 per 2 dagen	2	2 dagen			2	2	dag		2_2 dagen	2	2 dagen
1 per 2 jaar	1	2 jaar			1	2	jaar		1_2 jaar	1	2 jaar
3 per 2 jaar	3	2 jaar			3	2	jaar		3_2 jaar	3	2 jaar
