Route	ZIndex	Products	DoseRules	ShortDutch
AURICULAR	AURICULAIR	AURICULAIR	AURICULAIR	oor
CUTANEOUS	CUTAAN	CUTAAN	CUTAAN	cutaan
DENTAL	DENTAAL	DENTAAL		dentaal
ENDOCERVICAL	ENDOCERVICAAL	ENDOCERVICAAL		endocervicaal
ENDOTRACHEOPULMONAR	ENDOTRACHEOPULMONAIR	ENDOTRACHEOPULMONAIR	ENDOTRACHEOPULMONAIR	endo-tracheopulm
EPIDURAL	EPIDURAAL	EPIDURAAL	EPIDURAAL	epiduraal
EPILESIONAL	EPILESIONAAL			epilesionaal
EXTRACORPORAL	EXTRACORPORAAL	EXTRACORPORAAL	EXTRACORPORAAL	extra-corporaal
GASTRO_ENTERAL	GASTRO-ENTERAAL	GASTRO-ENTERAAL		gastro-enteraal
HEMODIALYSIS	HEMODIALYSE	HEMODIALYSE		hemodialyse
IMPLANT	VOOR IMPLANTATIE	VOOR IMPLANTATIE		implantatie
INHALATION	INHALATIE	INHALATIE	INHALATIE	inh
INTRA_ARTERIAL	INTRA-ARTERIEEL	INTRA-ARTERIEEL	INTRA-ARTERIEEL	art
INTRA_ARTICULAR	INTRA-ARTICULAIR	INTRA-ARTICULAIR	INTRA-ARTICULAIR	intra-articulair
INTRA_OCULAR	INTRA-OCULAIR	INTRA-OCULAIR	INTRA-UTERIEN	intra-oculair
INTRA_UTERINE	INTRA-UTERIEN	INTRA-UTERIEN		intra-uterien
INTRABURSAL	INTRABURSAAL	INTRABURSAAL	INTRABURSAAL	intra-burs
INTRACAMERAL	INTRACAMERAAL	INTRACAMERAAL		intra-cameraal
INTRACARDIAL	INTRACARDIAAL	INTRACARDIAAL	INTRACARDIAAL	cardiaal
INTRACAVERNEUS	INTRACAVERNEUS		INTRACAVERNEUS	intra-caverneus
INTRACEREBRAL	INTRACEREBRAAL		INTRACEREBRAAL	intra-cerebraal
INTRACERVICAL	INTRACERVICAAL		INTRACERVICAAL	intra-cervic
INTRACORONARY	INTRACORONAIR	INTRACORONAIR	INTRACORONAIR	intra-coronair
INTRADERMAL	INTRADERMAAL	INTRADERMAAL	INTRADERMAAL	intra-derm
INTRALAESIONAL	INTRALAESIONAAL	INTRALAESIONAAL	INTRALAESIONAAL	lesionaal
INTRALYMPHATIC	INTRALYMFATISCH		INTRALYMFATISCH	lymfatisch
INTRAMUSCULAR	INTRAMUSCULAIR	INTRAMUSCULAIR	INTRAMUSCULAIR	im
INTRAOSSAL	INTRAOSSAAL	INTRAOSSAAL	INTRAOSSAAL	intra-ossaal
INTRAPERICARDIAL	INTRAPERICARDIAAL	INTRAPERICARDIAAL		pericardiaal
INTRAPERITONEAL	INTRAPERITONEAAL	INTRAPERITONEAAL	INTRAPERITONEAAL	peritoneaal
INTRAPLEURAL	INTRAPLEURAAL	INTRAPLEURAAL	INTRAPLEURAAL	pleuraal
INTRATHECAL	INTRATHECAAL	INTRATHECAAL	INTRATHECAAL	intra-thecaal
INTRATYMPANAL	INTRATYMPANAAL	INTRATYMPANAAL		intratympaal
INTRATUMORAL	INTRATUMORAAL	INTRATUMORAAL		intra-tumor
INTRAVENEUS	INTRAVENEUS	INTRAVENEUS	INTRAVENEUS	iv
INTRAVESICAL	INTRAVESICAAL	INTRAVESICAAL	INTRAVESICAAL	intra-vesicaal
INTRAVITREAL	INTRAVITREAAL	INTRAVITREAAL	INTRAVITREAAL	intra-vitreaal
LOCAL	LOKAAL	LOKAAL	LOKAAL	lokaal
NASAL	NASAAL	NASAAL	NASAAL	nasaal
NON_SPECIFIED	NIET GESPECIFICEERD OF MEERVOUDIG	NIET GESPECIFICEERD OF MEERVOUDIG		
NOT_APPLICABLE	NIET VAN TOEPASSING	NIET VAN TOEPASSING		
OCULARY	OCULAIR	OCULAIR		oog
ORAL	ORAAL	ORAAL	ORAAL	or
OROMUCOSAL	OROMUCOSAAL	OROMUCOSAAL	OROMUCOSAAL	oromucosaal
PARABULBAR	PARABULBAIR	PARABULBAIR	PARABULBAIR	para-bulbair
PARENTERAL	PARENTERAAL	PARENTERAAL		
PERI_ARTICULAR	PERI-ARTICULAIR	PERI-ARTICULAIR	PERI-ARTICULAIR	peri-articulair
PERIBULBAR	PERIBULBAIR	PERIBULBAIR	PERIBULBAIR	peri-bulbair
PERINEURAL	PERINEURAAL	PERINEURAAL	PERINEURAAL	peri-neuraal
RECTAL	RECTAAL	RECTAAL	RECTAAL	rect
RETROBULBAR	RETROBULBAIR	RETROBULBAIR	RETROBULBAIR	retro-bulbair
SUBCONJUNCTIVAL	SUBCONJUNCTIVAAL		SUBCONJUNCTIVAAL	subconjunctivaal
SUBCUTAN	SUBCUTAAN	SUBCUTAAN	SUBCUTAAN	sc
SUBLINGUAL	SUBLINGUAAL	SUBLINGUAAL	SUBLINGUAAL	sublinguaal
SUBMUCOSAL	SUBMUCOSAAL	SUBMUCOSAAL		submucosaal
SUBRETINAL	SUBRETINAAL	SUBRETINAAL		subretinaal
TRANSDERMAL	TRANSDERMAAL	TRANSDERMAAL	TRANSDERMAAL	transdermaal
URETHRAL	URETHRAAL	URETHRAAL	URETHRAAL	urethraal
VAGINAL	VAGINAAL	VAGINAAL	VAGINAAL	vaginaal
