SortNo	Generic	Shape	Brand	Route	GPKs	Indication	ScheduleText	Dep	Gender	MinAge	MaxAge	MinWeight	MaxWeight	MinBSA	MaxBSA	MinGestAge	MaxGestAge	MinPMAge	MaxPMAge	DoseType	DoseText	UseGenericName	Substance	Freqs	DoseUnit	AdjustUnit	FreqUnit	RateUnit	MinTime	MaxTime	TimeUnit	MinInt	MaxInt	IntUnit	MinDur	MaxDur	DurUnit	MinQty	MaxQty	NormQtyAdj	MinQtyAdj	MaxQtyAdj	MinPerTime	MaxPerTime	NormPerTimeAdj	MinPerTimeAdj	MaxPerTimeAdj	MinRate	MaxRate	MinRateAdj	MaxRateAdj
14	5-hydroxytryptofaan			ORAAL		GTP cyclohydrolase I deficientie (GTPCH); 6 pyruvoyl tetrahyropterin synthase deficientie (PTPS); Dihydropteridine reductase deficientie (DHPR)	a terme neonaat 1 - 2 mg/kg/dag in 3 - 6 doses.Dosering laag starten en langzaam ophogen (stappen van 1 mg/kg/dag in enkele dagen tot weken) Behandeling door of na overleg met een kinderarts-specialist (metabole ziekten) die ervaring heeft met gebruik van 5-hydroxytryptofaan voor deze indicatie.				30					259				discontinuous			5-hydroxytryptofaan	3;4;5;6	mg	kg	dag																			1	2				
15	5-hydroxytryptofaan			ORAAL		GTP cyclohydrolase I deficientie (GTPCH); 6 pyruvoyl tetrahyropterin synthase deficientie (PTPS); Dihydropteridine reductase deficientie (DHPR)	1 maand tot 2 jaar 3 - 5 mg/kg/dag in 3 - 6 doses.Dosering laag starten en langzaam ophogen (stappen van 1 mg/kg/dag in enkele dagen tot weken) Behandeling door of na overleg met een kinderarts-specialist (metabole ziekten) die ervaring heeft met gebruik van 5-hydroxytryptofaan voor deze indicatie.			30	730									discontinuous			5-hydroxytryptofaan	3;4;5;6	mg	kg	dag																			3	5				
16	5-hydroxytryptofaan			ORAAL		GTP cyclohydrolase I deficientie (GTPCH); 6 pyruvoyl tetrahyropterin synthase deficientie (PTPS); Dihydropteridine reductase deficientie (DHPR)	≥ 2 jaar 6 - 9 mg/kg/dag in 3 - 6 doses.Dosering laag starten en langzaam ophogen (stappen van 1 mg/kg/dag in enkele dagen tot weken) Behandeling door of na overleg met een kinderarts-specialist (metabole ziekten) die ervaring heeft met gebruik van 5-hydroxytryptofaan voor deze indicatie.			730										discontinuous			5-hydroxytryptofaan	3;4;5;6	mg	kg	dag																			6	9				
17	abacavir			ORAAL		Behandeling HIV infectie	a terme neonaat 4 mg/kg/dag in 2 doses.Het voorschrijven van antiretrovirale therapie aan kinderen is voorbehouden aan artsen van een HIV-team. Retrovirale therapie is sterk onderhevig aan wisselingen in gangbare combinaties. Bovengenoemde dosering is dan ook slechts richtinggevend.				30					259				discontinuous			abacavir	2	mg	kg	dag																		4						
18	abacavir			ORAAL		Behandeling HIV infectie	1 maand tot 3 maanden 8 mg/kg/dag in 2 doses.Het voorschrijven van antiretrovirale therapie aan kinderen is voorbehouden aan artsen van een HIV-team. Retrovirale therapie is sterk onderhevig aan wisselingen in gangbare combinaties. Bovengenoemde dosering is dan ook slechts richtinggevend.			30	91									discontinuous			abacavir	2	mg	kg	dag																		8						
19	abacavir			ORAAL		Behandeling HIV infectie	3 maanden tot 18 jaar 16 mg/kg/dag in 1 - 2 doses. Max: 600 mg/dag. Het voorschrijven van antiretrovirale therapie aan kinderen is voorbehouden aan artsen van een HIV-team. Retrovirale therapie is sterk onderhevig aan wisselingen in gangbare combinaties. Bovengenoemde dosering is dan ook slechts richtinggevend.			91	6574									discontinuous			abacavir	1;2	mg	kg	dag																	600	16						
20	abacavir/lamivudine			ORAAL		Behandeling HIV infectie	≥ 25 kg Abacavir/lamivudine: 600 mg/300 mg (= 1 tablet) per dag in 1 dosis					25000								discontinuous			abacavir	1	mg		dag																600	600							
21	abacavir/lamivudine			ORAAL		Behandeling HIV infectie	≥ 25 kg Abacavir/lamivudine: 600 mg/300 mg (= 1 tablet) per dag in 1 dosis					25000								discontinuous			lamivudine	1	mg		dag																300	300							
22	abatacept			INTRAVENEUS		Juveniele Idiopathische Arthritis (JIA)	2 jaar tot 6 jaar Startdosering: 10 mg/kg/dosis 1 x per 2 weken. in week 0,2 en 4. Onderhoudsdosering: 10 mg/kg/dosis 1 x per 4 weken. Advies inname/toediening: Toedienen als i.v. infusie gedurende 30 minutenEr is geen evidence omtrent het gebruik van abatacept bij kinderen <6 jaar bij JIA. Behandeling door of na overleg met een kinderarts-specialist (reumatologie) die ervaring heeft met het gebruik van abatacept voor deze indicatie.			730	2191									timed	start week 0, 2 en 4		abatacept	1	mg	kg	2 weken	uur	30	60	min									10											
23	abatacept			INTRAVENEUS		Juveniele Idiopathische Arthritis (JIA)	2 jaar tot 6 jaar Startdosering: 10 mg/kg/dosis 1 x per 2 weken. in week 0,2 en 4. Onderhoudsdosering: 10 mg/kg/dosis 1 x per 4 weken. Advies inname/toediening: Toedienen als i.v. infusie gedurende 30 minutenEr is geen evidence omtrent het gebruik van abatacept bij kinderen <6 jaar bij JIA. Behandeling door of na overleg met een kinderarts-specialist (reumatologie) die ervaring heeft met het gebruik van abatacept voor deze indicatie.			730	2191									timed			abatacept	1	mg	kg	4 weken	uur	30	60	min									10											
24	abatacept			INTRAVENEUS		Juveniele Idiopathische Arthritis (JIA)	6 jaar tot 18 jaar en 75 tot 100 kg Startdosering: 750 mg/dosis 1 x per 2 weken. in week 0,2 en 4. Onderhoudsdosering: 750 mg/dosis 1 x per 4 weken. Advies inname/toediening: Toedienen als i.v. infusie gedurende 30 minuten			2191	6574	75000	100000							timed	start week 0, 2 en 4		abatacept	1	mg		2 weken	uur	30	60	min							750	750												
25	abatacept			INTRAVENEUS		Juveniele Idiopathische Arthritis (JIA)	6 jaar tot 18 jaar en 75 tot 100 kg Startdosering: 750 mg/dosis 1 x per 2 weken. in week 0,2 en 4. Onderhoudsdosering: 750 mg/dosis 1 x per 4 weken. Advies inname/toediening: Toedienen als i.v. infusie gedurende 30 minuten			2191	6574	75000	100000							timed			abatacept	1	mg		4 weken	uur	30	60	min							750	750												
26	abatacept			INTRAVENEUS		Juveniele Idiopathische Arthritis (JIA)	6 jaar tot 18 jaar en ≥ 100 kg Startdosering: 1.000 mg/dosis 1 x per 2 weken. in week 0,2 en 4. Onderhoudsdosering: 1.000 mg/dosis 1 x per 4 weken. Advies inname/toediening: Toedienen als i.v. infusie gedurende 30 minuten			2191	6574	100000								timed	start week 0, 2 en 4		abatacept	1	mg		2 weken	uur	30	60	min							1000	1000												
27	abatacept			INTRAVENEUS		Juveniele Idiopathische Arthritis (JIA)	6 jaar tot 18 jaar en ≥ 100 kg Startdosering: 1.000 mg/dosis 1 x per 2 weken. in week 0,2 en 4. Onderhoudsdosering: 1.000 mg/dosis 1 x per 4 weken. Advies inname/toediening: Toedienen als i.v. infusie gedurende 30 minuten			2191	6574	100000								timed			abatacept	1	mg		4 weken	uur	30	60	min							1000	1000												
28	abatacept			INTRAVENEUS		Juveniele Idiopathische Arthritis (JIA)	6 jaar tot 18 jaar en < 75 kg Startdosering: 10 mg/kg/dosis 1 x per 2 weken. in week 0,2 en 4. Onderhoudsdosering: 10 mg/kg/dosis 1 x per 4 weken. Advies inname/toediening: Toedienen als i.v. infusie gedurende 30 minuten			2191	6574		75000							timed	start week 0, 2 en 4		abatacept	1	mg	kg	2 weken	uur	30	60	min									10											
29	abatacept			INTRAVENEUS		Juveniele Idiopathische Arthritis (JIA)	6 jaar tot 18 jaar en < 75 kg Startdosering: 10 mg/kg/dosis 1 x per 2 weken. in week 0,2 en 4. Onderhoudsdosering: 10 mg/kg/dosis 1 x per 4 weken. Advies inname/toediening: Toedienen als i.v. infusie gedurende 30 minuten			2191	6574		75000							timed			abatacept	1	mg	kg	4 weken	uur	30	60	min									10											
33	abatacept			INTRAVENEUS		Therapieresistente Focale Segmentale GlomeruloSclerose (FSGS)	2 jaar tot 18 jaar en < 75 kg 10 mg/kg/dosis, éénmalig. Indien nodig kunnen meerdere doses gegeven worden; de eerste 3 doses om de 2 weken, daarna elke 4 weken doseren. Advies inname/toediening: Toedienen als i.v. infusie gedurende 30 minuten.Er is weinig evidence omtrent het gebruik van abatacept bij kinderen met FSGS. Behandeling door of na overleg met een kinderarts-specialist (nefrologie) die ervaring heeft met het gebruik van abatacept voor deze indicatie.			730	6574		75000							onceTimed			abatacept		mg	kg		uur	30	60	min									10											
34	abatacept			INTRAVENEUS		Therapieresistente Focale Segmentale GlomeruloSclerose (FSGS)	6 jaar tot 18 jaar en 75 tot 100 kg 750 mg/dosis, éénmalig. Indien nodig kunnen meerdere doses gegeven worden; de eerste 3 doses om de 2 weken, daarna elke 4 weken doseren.. Advies inname/toediening: Toedienen als i.v. infusie gedurende 30 minuten.Er is weinig evidence omtrent het gebruik van abatacept bij kinderen met FSGS. Behandeling door of na overleg met een kinderarts-specialist (nefrologie) die ervaring heeft met het gebruik van abatacept voor deze indicatie.			2191	6574	75000	100000							onceTimed			abatacept		mg			uur	30	60	min							750	750												
35	abatacept			INTRAVENEUS		Therapieresistente Focale Segmentale GlomeruloSclerose (FSGS)	6 jaar tot 18 jaar en ≥ 100 kg 1.000 mg/dosis, éénmalig. Indien nodig kunnen meerdere doses gegeven worden; de eerste 3 doses om de 2 weken, daarna elke 4 weken doseren. Advies inname/toediening: Toedienen als i.v. infusie gedurende 30 minuten.Er is weinig evidence omtrent het gebruik van abatacept bij kinderen met FSGS. Behandeling door of na overleg met een kinderarts-specialist (nefrologie) die ervaring heeft met het gebruik van abatacept voor deze indicatie.			2191	6574	100000								onceTimed			abatacept		mg			uur	30	60	min							1000	1000												
30	abatacept			SUBCUTAAN		Juveniele Idiopathische Arthritis (JIA)	≥ 2 jaar en 10 tot 25 kg 50 mg/dosis 1 x per week.			730		10000	25000							discontinuous			abatacept	1	mg		week											50	50												
31	abatacept			SUBCUTAAN		Juveniele Idiopathische Arthritis (JIA)	≥ 2 jaar en 25 tot 50 kg 87,5 mg/dosis 1 x per week.			730		25000	50000							discontinuous			abatacept	1	mg		week											87.5	87.5												
32	abatacept			SUBCUTAAN		Juveniele Idiopathische Arthritis (JIA)	≥ 2 jaar en ≥ 50 kg 125 mg/dosis 1 x per week.			730		50000								discontinuous			abatacept	1	mg		week											125	125												
36	acenocoumarol			ORAAL		Antistolling	< 1 jaar Dag 1: 0.2 mg/kg/dag in 1 dosis Dag 2: 0.15 mg/kg/dag in 1 dosis Dag 3: 0.1 mg/kg/dag in 1 dosis Daarna titreren op basis van INRAdvies inname/toediening: Inname 1x per dag 's avonds rond 18.00 uur, zodat bij een sterk afwijkende INR de dosering op de dag van de controle kan worden aangepast. Een vergeten dosis kan dezelfde avond nog worden ingenomen, maar niet de volgende dag.Start vitamine K antagonisten op dag 1. Heparine therapie kan gestaakt worden na minimaal 5 dagen en indien INR bij 2 opeenvolgende controles in de therapeutische range ligt (2.0 – 3.0).Oplaaddosis verlagen bij: lever- en nieraandoeningen, bij proteïne C en S deficiëntie en bij bepaalde comedicatie				365									discontinuous	dag 1		acenocoumarol	1	mg	kg	dag								1	1	dag								0.2						
