GPKODE	UMCU	ICC	NEO	ICK	HCK	FilterUMCU	FilterICC	FilterNEO	FilterICK	FilterHCK	Generic	UseGenName	UseShape	UseBrand	TallMan	Mmol	Divisible	GStand	Shape	Brand	GenName
166022						FALSE	FALSE	FALSE	FALSE	FALSE	7-OXO-DEHYDROEPIANDROSTERON							7-OXO-DEHYDROEPIANDROSTERON	TABLET		7-OXO-DEHYDROEPIANDROSTERON
161144						FALSE	FALSE	FALSE	FALSE	FALSE	AARDBEI/WIJNSTOK							AARDBEI/WIJNSTOK	KAUWTABLET	HEPATODORON	AARDBEI BLAD/WIJNSTOK BLAD
165565						FALSE	FALSE	FALSE	FALSE	FALSE	ABACAVIR							ABACAVIR	TABLET	ZIAGEN	ABACAVIR
165573	x					TRUE	FALSE	FALSE	FALSE	FALSE	ABACAVIR							ABACAVIR	DRANK	ZIAGEN	ABACAVIR
165638						FALSE	FALSE	FALSE	FALSE	FALSE	ABACAVIR/LAMIVUDINE							ABACAVIR/LAMIVUDINE	TABLET	KIVEXA	ABACAVIR/LAMIVUDINE
127434	x					TRUE	FALSE	FALSE	FALSE	FALSE	ABATACEPT							ABATACEPT	POEDER VOOR OPLOSSING VOOR INFUSIE	ORENCIA	ABATACEPT
137847						FALSE	FALSE	FALSE	FALSE	FALSE	ABATACEPT							ABATACEPT	INFUUS		ABATACEPT
140813	x					TRUE	FALSE	FALSE	FALSE	FALSE	ABATACEPT							ABATACEPT	INJECTIEVLOEISTOF	ORENCIA	ABATACEPT
154628						FALSE	FALSE	FALSE	FALSE	FALSE	ABCIXIMAB							ABCIXIMAB	INFUUS		ABCIXIMAB
176052						FALSE	FALSE	FALSE	FALSE	FALSE	ABEMACICLIB							ABEMACICLIB	TABLET	VERZENIOS	ABEMACICLIB
176060						FALSE	FALSE	FALSE	FALSE	FALSE	ABEMACICLIB							ABEMACICLIB	TABLET	VERZENIOS	ABEMACICLIB
176079						FALSE	FALSE	FALSE	FALSE	FALSE	ABEMACICLIB							ABEMACICLIB	TABLET	VERZENIOS	ABEMACICLIB
138827						FALSE	FALSE	FALSE	FALSE	FALSE	ABIRATERON							ABIRATERON	TABLET	ZYTIGA	ABIRATERON ACETAAT
166316						FALSE	FALSE	FALSE	FALSE	FALSE	ABIRATERON							ABIRATERON	TABLET	ZYTIGA	ABIRATERON ACETAAT
189863						FALSE	FALSE	FALSE	FALSE	FALSE	ABIRATERON							ABIRATERON	TABLET		ABIRATERON ACETAAT
